p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
004186,江信增利货币B,2019-01-18,0.7444,2.697,2.7074,3.1927,3.1193,0.2641,0.7395,1.6076,3.6947,5000000.0
620010,金元顺安金元宝货币A,2019-01-20,0.744,2.918,2.8896,2.9759,2.9948,0.2535,0.7355,1.5329,3.6767,100.0
740602,长安货币B,2019-01-19,0.7439,2.698,2.8212,3.3354,3.2993,0.2815,0.7617,1.5269,3.6399,5000000.0
003364,长江乐享货币B,2019-01-18,0.7436,2.838,2.8236,2.9598,2.9172,0.2504,0.726,1.5328,3.5261,5000000.0
002884,华润元大现金通货币B,2019-01-18,0.7423,2.839,3.0549,3.079,3.0223,0.2557,0.7727,1.6759,4.0087,5000000.0
519509,浦银安盛货币A,2019-01-18,0.7418,2.825,2.8563,3.0421,2.9971,0.2583,0.6964,1.4515,3.4747,100.0
150988,银河钱包货币A,2019-01-18,0.7416,2.687,2.7807,3.2186,3.155,0.2678,0.7364,1.4925,3.5396,100.0
002710,红塔红土人人宝货币B,2019-01-20,0.7415,2.827,2.8961,2.9223,2.9378,0.2475,0.7317,1.5173,3.6351,5000000.0
050003,博时现金收益货币A,2019-01-20,0.739,2.747,2.7825,2.7896,2.806,0.2361,0.6805,1.4373,3.4465,100.0
003317,中银证券现金管家货币B,2019-01-20,0.7384,2.806,2.8977,2.927,3.0316,0.2588,0.7159,1.545,3.5643,5000000.0
003229,浦银安盛日日鑫货币B,2019-01-18,0.7383,2.769,2.8201,3.1454,3.1274,0.2633,0.7366,1.5196,3.6183,5000000.0
000855,上投摩根天添盈货币A,2019-01-18,0.7378,2.646,2.6746,2.7531,2.7347,0.2305,0.6537,1.2856,3.0731,100.0
750007,安信现金管理货币B,2019-01-18,0.7374,2.7,2.7389,3.041,3.0253,0.2551,0.7302,1.5349,3.606,5000000.0
004770,海富通添益货币A,2019-01-18,0.7371,2.726,3.3212,3.5006,3.3845,0.2898,0.7443,1.5815,3.7534,100.0
003585,先锋现金宝货币,2019-01-18,0.7364,2.705,2.7984,2.9599,2.878,0.2414,0.6511,1.3107,3.2174,100.0
000506,国寿安保货币B,2019-01-18,0.7353,3.134,3.2683,3.383,3.1883,0.2754,0.7013,1.429,3.3402,5000000.0
003423,国寿安保添利货币B,2019-01-18,0.7342,2.661,2.6965,2.9526,2.9223,0.2458,0.7062,1.4919,3.6332,5000000.0
253051,国联安货币B,2019-01-18,0.7328,2.848,2.8836,3.2887,3.2029,0.2729,0.7181,1.4481,3.4958,5000000.0
000722,兴业货币B,2019-01-18,0.7325,2.301,2.2941,3.1227,3.0062,0.2579,0.6886,1.4131,3.3283,5000000.0
002195,中银机构现金管理货币,2019-01-19,0.7323,2.739,2.863,3.4485,3.4584,0.2845,0.7768,1.6359,3.8591,1000.0
000325,华润元大现金收益货币B,2019-01-18,0.7321,2.68,2.6678,3.1286,2.9981,0.2639,0.6295,1.3221,3.4497,5000000.0
288101,华夏货币A,2019-01-18,0.7318,3.105,3.2221,3.4441,3.4147,0.285,0.7643,1.558,3.6979,100.0
000542,上银慧财宝货币A,2019-01-20,0.7316,2.701,2.7348,3.1724,3.1296,0.266,0.711,1.4655,3.4891,100.0
004077,金信民发货币A,2019-01-19,0.7311,2.619,2.6144,3.9943,3.7342,0.3236,0.7674,1.5715,3.6164,100.0
001981,富国收益宝交易型货币A,2019-01-18,0.7304,2.599,2.5875,2.8362,2.8522,0.2387,0.6931,1.495,3.5779,100.0
213909,宝盈货币B,2019-01-18,0.7282,3.03,3.0644,3.2189,3.1103,0.2647,0.7357,1.526,3.6067,5000000.0
001698,大成恒丰宝货币B,2019-01-18,0.7281,2.645,2.7204,3.0359,2.9299,0.2502,0.6673,1.4725,3.5373,5000000.0
240006,华宝现金宝货币A,2019-01-18,0.7278,2.65,2.7444,2.9845,3.3335,0.2474,0.7351,1.5319,3.5393,500.0
004983,鹏扬现金通利货币A,2019-01-18,0.7269,2.641,2.6693,2.8062,2.7622,0.2325,0.6844,1.459,3.5449,100.0
004568,长城工资宝货币B,2019-01-19,0.7265,2.66,2.7588,3.0109,2.9184,0.2485,0.6885,1.4598,3.565,5000000.0
392002,中海货币B,2019-01-18,0.726,2.587,2.6139,3.5822,3.5402,0.2936,0.8234,1.6591,3.8683,5000000.0
320019,诺安货币B,2019-01-18,0.7257,2.565,2.593,2.9745,2.8495,0.2494,0.6727,1.4041,3.3501,5000000.0
002247,新疆前海联合海盈货币A,2019-01-19,0.7254,2.614,2.6075,3.2187,3.1355,0.2668,0.7177,1.4312,3.4336,100.0
005056,东方红货币A,2019-01-20,0.7253,2.756,2.9042,3.2881,3.2693,0.2804,0.683,1.3646,3.3229,100.0
161608,融通易支付货币A,2019-01-19,0.725,2.753,2.8348,2.9387,2.9405,0.2485,0.6827,1.4075,3.2045,100.0
002788,融通现金宝货币A,2019-01-19,0.7246,3.09,2.812,3.0248,3.0238,0.2547,0.7471,1.5867,3.6863,100.0
160609,鹏华货币B,2019-01-18,0.7243,2.694,2.6868,3.0617,2.9827,0.2578,0.7099,1.4526,3.4851,5000000.0
002324,南方日添益A,2019-01-19,0.7215,2.671,2.7192,2.812,2.8076,0.2352,0.7363,1.6611,3.6903,100.0
002889,交银天利宝货币A,2019-01-18,0.7186,2.63,2.7802,3.3003,3.2114,0.2733,0.7744,1.6442,3.8121,100.0
310339,申万收益宝货币B,2019-01-18,0.7183,2.718,2.7826,3.2635,3.1604,0.2711,0.6746,1.3436,3.2441,5000000.0
001991,农银天天利货币A,2019-01-18,0.7179,2.583,2.9568,3.4792,3.5869,0.3099,0.7654,1.5913,3.5422,100.0
002759,东兴安盈宝A,2019-01-18,0.7171,2.68,2.7814,3.0223,2.9456,0.2566,0.6804,1.4331,3.3659,100.0
004787,渤海汇金汇添金货币B,2019-01-18,0.7158,2.612,2.7472,2.8847,2.8288,0.2663,0.7213,1.4638,3.4152,5000000.0
000651,招商招金宝货币B,2019-01-18,0.7155,2.675,2.8313,3.0166,2.8963,0.25,0.6317,1.2931,3.1653,5000000.0
003711,泰达宏利京元宝货币A,2019-01-18,0.7152,2.823,2.9339,3.226,3.2275,0.2742,0.7345,1.4975,3.5745,100.0
150005,银河银富货币A,2019-01-18,0.7151,3.005,2.9369,3.1539,3.1202,0.2634,0.7176,1.333,3.1977,100.0
004173,嘉实增益宝货币,2019-01-20,0.7149,2.693,2.7526,2.7133,2.693,0.2264,0.6581,1.3584,3.2613,100.0
004073,金元顺安金通宝货币B,2019-01-20,0.7147,2.636,2.6185,3.116,3.0281,0.2577,0.687,1.4124,3.424,5000000.0
000559,诺安天天宝A,2019-01-18,0.7125,2.628,2.6965,2.9162,2.9209,0.2455,0.6861,1.4423,3.4521,100.0
001391,天弘弘运宝货币B,2019-01-19,0.7124,2.955,2.9141,2.885,2.8857,0.2425,0.7553,1.6021,3.7839,5000000.0
202301,南方现金增利货币A,2019-01-19,0.7123,2.683,2.7507,2.8314,2.8464,0.2421,0.6959,1.5091,3.5609,100.0
000682,信达澳银慧管家C,2019-01-20,0.7119,2.731,2.6815,3.2211,3.1324,0.2675,0.6741,1.3476,3.2511,5000000.0
270004,广发货币A,2019-01-19,0.7114,2.598,2.6294,2.7836,2.8069,0.2397,0.685,1.4732,3.5188,100.0
091005,大成货币B,2019-01-18,0.7107,2.643,2.7858,3.3519,3.2066,0.2752,0.7249,1.5321,3.5746,10000000.0
003998,泓德添利货币B,2019-01-18,0.7105,2.945,2.7238,3.6254,3.5148,0.3035,0.7851,1.6599,3.7374,5000000.0
001477,泰康薪意保货币A,2019-01-20,0.71,2.717,2.9807,3.2151,3.1458,0.2688,0.7239,1.5413,3.6101,100.0
